Layers;Iteration;Recognition Failure Rate;Learning Failure Rate
[30, 10];1;6.3;0.02979356570916311
[30, 10];2;5.6000000000000005;0.018172908257499596
[30, 10];3;6.1;0.016250986928717386
[30, 10];4;4.3999999999999995;0.015576201876848427
[30, 10];5;4.9;0.014948612186477379
[30, 10];6;4.5;0.013878993111469938
[30, 10];7;3.6999999999999997;0.01349286893782464
[30, 10];8;5.4;0.013061970360389804
[30, 10];9;4.2;0.012554291650516714
[30, 10];10;6.2;0.01225566474768365
[30, 10];11;4.1000000000000005;0.011138233821970314
[30, 10];12;5.1;0.011068831852319555
[30, 10];13;4.0;0.010353029774182683
[30, 10];14;4.9;0.009920598287630618
[30, 10];15;5.4;0.009705505129640314
[30, 10];16;3.1;0.0092131944268049
[30, 10];17;4.9;0.008632523688298319
[30, 10];18;3.5000000000000004;0.008228469514716293
[30, 10];19;5.1;0.007750817872177794
[30, 10];20;3.4000000000000004;0.007627014585781464
[30, 10];21;4.3999999999999995;0.007216184594602849
[30, 10];22;4.8;0.006947751821098873
[30, 10];23;4.2;0.006360812856151707
[30, 10];24;3.5000000000000004;0.005982017036792799
[30, 10];25;5.1;0.005610646154339405
