Layers;Iteration;Recognition Failure Rate;Learning Failure Rate
[300];1;2.8000000000000003;0.00943235322161615
[300];2;1.7999999999999998;0.00234405591732542
[300];3;1.7000000000000002;0.0010358894334437318
[300];4;1.3;7.895202655615833E-4
[300];5;1.7000000000000002;6.680932257238702E-4
[300];6;1.9;6.220600071580606E-4
[300];7;2.7;5.87657674454476E-4
[300];8;2.3;5.575914439493269E-4
[300];9;2.0;5.34139607134366E-4
[300];10;2.6;5.096603083174757E-4
[300];11;1.6;4.909323308085681E-4
[300];12;1.4000000000000001;4.774571546382182E-4
[300];13;1.7999999999999998;4.660634622946346E-4
[300];14;2.4;4.556436019852984E-4
[300];15;1.5;4.441011774982918E-4
[300];16;2.1999999999999997;4.3870530607785496E-4
[300];17;1.4000000000000001;4.2502356750504E-4
[300];18;2.1;4.1966067283858143E-4
[300];19;2.0;4.117748069655858E-4
[300];20;1.9;4.0471072055299327E-4
[300];21;2.1;4.0003844570554926E-4
[300];22;1.9;3.9627589992735065E-4
[300];23;2.0;3.937789025267406E-4
[300];24;1.9;3.914068815489288E-4
[300];25;1.6;3.913195090730974E-4
